Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,host_tissue_sampled,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR3667459,AMPLICON,464,11985109,PRJNA325649,SAMN05249688,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",3178569,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845739,USA,North America,USA,Homo sapiens,VC008L.Healthy Biopsy,Illumina MiSeq,not collected,VC008L,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:46:00Z,1,VC008L,SRP076571
SRR3667460,AMPLICON,461,6733623,PRJNA325649,SAMN05249689,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",1824252,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845740,USA,North America,USA,Homo sapiens,VC008R.Healthy Biopsy,Illumina MiSeq,not collected,VC008R,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:46:00Z,1,VC008R,SRP076571
SRR3667461,AMPLICON,458,10218488,PRJNA325649,SAMN05249698,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",2725812,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845741,USA,North America,USA,Homo sapiens,VC017L.Healthy Biopsy,Illumina MiSeq,not collected,VC017L,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:46:00Z,1,VC017L,SRP076571
SRR3667462,AMPLICON,458,11818009,PRJNA325649,SAMN05249699,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",3138897,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845742,USA,North America,USA,Homo sapiens,VC017R.Healthy Biopsy,Illumina MiSeq,not collected,VC017R,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:46:00Z,1,VC017R,SRP076571
SRR3667463,AMPLICON,463,10965872,PRJNA325649,SAMN05249700,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",2916695,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845743,USA,North America,USA,Homo sapiens,VS002N.Normal,Illumina MiSeq,not collected,VS002N,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:46:00Z,1,VS002N,SRP076571
SRR3667464,AMPLICON,462,13206728,PRJNA325649,SAMN05249701,"MIGS/MIMS/MIMARKS.human-gut,MIMARKS.survey",3496542,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845744,USA,North America,USA,Homo sapiens,VS002T.CRC,Illumina MiSeq,not collected,VS002T,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:46:00Z,1,VS002T,SRP076571
SRR3667465,AMPLICON,467,10647746,PRJNA325649,SAMN05249702,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",2842600,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845745,USA,North America,USA,Homo sapiens,VS003N.Normal,Illumina MiSeq,not collected,VS003N,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:46:00Z,1,VS003N,SRP076571
SRR3667466,AMPLICON,463,10341268,PRJNA325649,SAMN05249703,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",2753842,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845746,USA,North America,USA,Homo sapiens,VS003T.CRC,Illumina MiSeq,not collected,VS003T,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:46:00Z,1,VS003T,SRP076571
SRR3667468,AMPLICON,463,8819200,PRJNA325649,SAMN05249704,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",2364626,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845748,USA,North America,USA,Homo sapiens,VS005T.CRC,Illumina MiSeq,not collected,VS005T,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:46:00Z,1,VS005T,SRP076571
SRR3667469,AMPLICON,461,14291458,PRJNA325649,SAMN05249705,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",3780514,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845749,USA,North America,USA,Homo sapiens,VS006N.Normal,Illumina MiSeq,not collected,VS006N,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:46:00Z,1,VS006N,SRP076571
SRR3667470,AMPLICON,468,8453619,PRJNA325649,SAMN05249706,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",2268784,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845750,USA,North America,USA,Homo sapiens,VS006T.CRC,Illumina MiSeq,not collected,VS006T,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:46:00Z,1,VS006T,SRP076571
SRR3667471,AMPLICON,463,7458614,PRJNA325649,SAMN05249690,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",2013482,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845751,USA,North America,USA,Homo sapiens,VC010L.Healthy Biopsy,Illumina MiSeq,not collected,VC010L,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:46:00Z,1,VC010L,SRP076571
SRR3667472,AMPLICON,461,14537926,PRJNA325649,SAMN05249707,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",3834130,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845752,USA,North America,USA,Homo sapiens,VS007N.Normal,Illumina MiSeq,not collected,VS007N,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:46:00Z,1,VS007N,SRP076571
SRR3667473,AMPLICON,459,15159365,PRJNA325649,SAMN05249708,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",3994255,RESPHERA BIOSCIENCES,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mammalia-associated habitat,human-associated habitat,colon,SRX1845753,USA,North America,USA,Homo sapiens,VS007T.CRC,Illumina MiSeq,not collected,VS007T,SINGLE,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2016-10-01T00:00:00Z,2016-06-14T19:47:00Z,1,VS007T,SRP076571
