.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR3666996_1	1	0.25	1	0.25	0.25	1	0.5	0.25	1	1
SRR3666996_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3666997_1	1	0.25	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR3666997_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3666998_1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR3666998_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3666999_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3666999_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667000_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667000_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667001_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667001_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667002_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667002_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667003_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667003_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667004_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667004_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667005_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667005_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667006_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667006_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667007_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667007_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667008_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667008_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667009_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667009_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667010_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667010_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667011_1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR3667011_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667012_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667012_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667013_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667013_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667014_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667014_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667015_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667015_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667016_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667016_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667017_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667017_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667018_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667018_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667019_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667019_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667020_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667020_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667021_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667021_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667022_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667022_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667023_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR3667023_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667024_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667024_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667025_1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
SRR3667025_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667026_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667026_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667027_1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR3667027_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667028_1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR3667028_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667029_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667029_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667030_1	1	0.5	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667030_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667031_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667031_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667032_1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR3667032_2	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667033_1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR3667033_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3667034_1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR3667034_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
