Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56
SRR3666998_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0015580571027928173)	(25, 0.0015580571027928173)	(30, 0.0015580571027928173)	(35, 0.006543839831729832)	(40, 0.034666770537140186)	(45, 0.05016943870992872)	(50, 0.1286176138355471)	(55, 0.4025240525065244)	(60, 0.47614225061348503)	(65, 0.4785572391228139)	(70, 0.49740973006660694)	(75, 0.5152494838935847)	(80, 0.5288045806878823)	(85, 0.5525649515054726)	(90, 0.573754528103455)	(95, 0.5860631792155182)	(100, 0.5912826705098742)	(105, 0.607798075799478)	(110, 0.6115374128461808)	(115, 0.6168348069956763)	(120, 0.6282086238460639)	(125, 0.6329606980095821)	(130, 0.6330386008647217)	(135, 0.6335060179955595)	(140, 0.6356872979394695)	(145, 0.6388034121450551)	(150, 0.6412963035095236)	(155, 0.6465157948038796)	(160, 0.6512678689673976)	(165, 0.6514236746776769)	(170, 0.6523585089393527)	(175, 0.6528259260701905)	(180, 0.6529817317804698)	(185, 0.6532154403458886)	(190, 0.7009698905464885)	(195, 0.7151482101819032)	(200, 0.7158493358781599)	(205, 0.7163167530089978)	(210, 0.7163167530089978)	(215, 0.7163167530089978)	(220, 0.7191991586491645)	(225, 0.7198223814902817)	(230, 0.7221594671444709)	(235, 0.7242628442332412)	(240, 0.7264441241771511)	
SRR3666998_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.00015580571027928172)	(70, 0.0003895142756982043)	(75, 0.0003895142756982043)	(80, 0.0003895142756982043)	(85, 0.0003895142756982043)	(90, 0.0003895142756982043)	(95, 0.00046741713083784514)	(100, 0.006232228411171269)	(105, 0.01861878237837417)	(110, 0.03287500486892845)	(115, 0.06933354107428037)	(120, 0.257702644801932)	(125, 0.26292213609628795)	(130, 0.26518131889533747)	(135, 0.2808397927784053)	(140, 0.2902660382503019)	(145, 0.29626455809605423)	(150, 0.31067658629688777)	(155, 0.31745413469403655)	(160, 0.3283605344135863)	(165, 0.3300743972266583)	(170, 0.34510964826860907)	(175, 0.34510964826860907)	(180, 0.3494722081564289)	(185, 0.3580415222217894)	(190, 0.3606902192965372)	(195, 0.3608460250068165)	(200, 0.3612355392825147)	(205, 0.36388423635726247)	(210, 0.36536439060491566)	(215, 0.36785728196938416)	(220, 0.3722198418572041)	(225, 0.37432321894597437)	(230, 0.37463483036653294)	(235, 0.3753359560627897)	(240, 0.375491761773069)	
SRR3666998_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0015580571027928173)	(25, 0.0015580571027928173)	(30, 0.0015580571027928173)	(35, 0.006621742686869473)	(40, 0.03443306197172126)	(45, 0.04939041015853231)	(50, 0.1269816538776146)	(55, 0.3988626183149612)	(60, 0.47185759358080476)	(65, 0.4742725820901336)	(70, 0.49257975304794915)	(75, 0.5101857983095079)	(80, 0.523429283683247)	(85, 0.5462548202391618)	(90, 0.5675222996922837)	(95, 0.5796751450940677)	(100, 0.5850504420987029)	(105, 0.6018774588088653)	(110, 0.6056946987107078)	(115, 0.6109920928602033)	(120, 0.6225217154208702)	(125, 0.6275074981498072)	(130, 0.6275854010049469)	(135, 0.6280528181357847)	(140, 0.6303120009348342)	(145, 0.6337397265609784)	(150, 0.6362326179254469)	(155, 0.6411404977992443)	(160, 0.6454251548319246)	(165, 0.6455809605422039)	(170, 0.6468274062244381)	(175, 0.6473727262104156)	(180, 0.6475285319206949)	(185, 0.6477622404861139)	(190, 0.6972305534997858)	(195, 0.7120320959763176)	(200, 0.7127332216725742)	(205, 0.7132006388034121)	(210, 0.7132006388034121)	(215, 0.7132006388034121)	(220, 0.7160830444435788)	(225, 0.716706267284696)	(230, 0.7190433529388853)	(235, 0.7208351186070969)	(240, 0.7217699528687727)	
SRR3666998_2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00023370856541892257)	(20, 0.0003895142756982043)	(25, 0.0003895142756982043)	(30, 0.0003895142756982043)	(35, 0.0003895142756982043)	(40, 0.0003895142756982043)	(45, 0.0003895142756982043)	(50, 0.0003895142756982043)	(55, 0.0003895142756982043)	(60, 0.0006232228411171269)	(65, 0.0007790285513964086)	(70, 0.0007790285513964086)	(75, 0.0007790285513964086)	(80, 0.0007790285513964086)	(85, 0.0007790285513964086)	(90, 0.0009348342616756903)	(95, 0.0066996455420091135)	(100, 0.014489931055973201)	(105, 0.02781131928485179)	(110, 0.0657500097378569)	(115, 0.16803645853620536)	(120, 0.17161998987262883)	(125, 0.17380126981653876)	(130, 0.18135784676508396)	(135, 0.18805749230709307)	(140, 0.19070618938184086)	(145, 0.1990417948817824)	(150, 0.2020800062322284)	(155, 0.20706578896116543)	(160, 0.20916916604993574)	(165, 0.2142328516340124)	(170, 0.2142328516340124)	(175, 0.2169594515638998)	(180, 0.22030927433490438)	(185, 0.22085459432088186)	(190, 0.2209324971760215)	(195, 0.22124410859658009)	(200, 0.2217115257274179)	(205, 0.22217894285825576)	(210, 0.2228021656993729)	(215, 0.22358119425076928)	(220, 0.2238149028161882)	(225, 0.2239707085264675)	(230, 0.22404861138160714)	(235, 0.22436022280216567)	(240, 0.2243602228021657)	
SRR3667004_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0014486620843197579)	(40, 0.004041004761523534)	(45, 0.004803458490112882)	(50, 0.0255421999077431)	(55, 0.08005764150188135)	(60, 0.09683162353084697)	(65, 0.09767032263229526)	(70, 0.10346497096957427)	(75, 0.1048373876810351)	(80, 0.1048373876810351)	(85, 0.11185196198405711)	(90, 0.11474928615269661)	(95, 0.1162741936098753)	(100, 0.11741787420275931)	(105, 0.11856155479564334)	(110, 0.11947649926995055)	(115, 0.11993397150710416)	(120, 0.12008646225282202)	(125, 0.12008646225282202)	(130, 0.12008646225282202)	(135, 0.12008646225282202)	(140, 0.12008646225282202)	(145, 0.12008646225282202)	(150, 0.12008646225282202)	(155, 0.12062017986283458)	(160, 0.12344125865861517)	(165, 0.12504241148865278)	(170, 0.1253473929800885)	(175, 0.1254998837258064)	(180, 0.12603360133581892)	(185, 0.1261860920815368)	(190, 0.12984586997876565)	(195, 0.13137077743594436)	(200, 0.1315232681816622)	(205, 0.1315232681816622)	(210, 0.1321332311645337)	(215, 0.13304817563884092)	(220, 0.13304817563884092)	(225, 0.1334294025031356)	(230, 0.1334294025031356)	(235, 0.13350564787599453)	(240, 0.13381062936743027)	
SRR3667004_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0014486620843197579)	(40, 0.004041004761523534)	(45, 0.004803458490112882)	(50, 0.025160973043448425)	(55, 0.07937143314615094)	(60, 0.09606916980225762)	(65, 0.09690786890370591)	(70, 0.10270251724098493)	(75, 0.10407493395244576)	(80, 0.10407493395244576)	(85, 0.11047954527259626)	(90, 0.11322437869551791)	(95, 0.11474928615269661)	(100, 0.11589296674558063)	(105, 0.11703664733846467)	(110, 0.11795159181277189)	(115, 0.11840906404992549)	(120, 0.11856155479564334)	(125, 0.11856155479564334)	(130, 0.11856155479564334)	(135, 0.11856155479564334)	(140, 0.11856155479564334)	(145, 0.11856155479564334)	(150, 0.11856155479564334)	(155, 0.11894278165993802)	(160, 0.1215351243371418)	(165, 0.12313627716717941)	(170, 0.12344125865861515)	(175, 0.12359374940433303)	(180, 0.12389873089576878)	(185, 0.12389873089576878)	(190, 0.12755850879299763)	(195, 0.12847345326730483)	(200, 0.12847345326730483)	(205, 0.12847345326730483)	(210, 0.12893092550445845)	(215, 0.12923590699589418)	(220, 0.12923590699589418)	(225, 0.12923590699589418)	(230, 0.12923590699589418)	(235, 0.12931215236875312)	(240, 0.12961713386018886)	
SRR3667006_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001863307743906984)	(15, 0.0014906461951255871)	(20, 0.0018633077439069838)	(25, 0.0018633077439069838)	(30, 0.0018633077439069838)	(35, 0.0018633077439069838)	(40, 0.0018633077439069838)	(45, 0.002049638518297682)	(50, 0.007453230975627935)	(55, 0.03037191622568384)	(60, 0.03540284713423269)	(65, 0.03763881642692107)	(70, 0.03819780875009317)	(75, 0.03819780875009317)	(80, 0.03894313184765596)	(85, 0.05217261682939554)	(90, 0.05217261682939554)	(95, 0.05217261682939554)	(100, 0.05254527837817694)	(105, 0.055712901542818806)	(110, 0.055899232317209516)	(115, 0.055899232317209516)	(120, 0.055899232317209516)	(125, 0.055899232317209516)	(130, 0.055899232317209516)	(135, 0.055899232317209516)	(140, 0.055899232317209516)	(145, 0.055899232317209516)	(150, 0.055899232317209516)	(155, 0.0566445554147723)	(160, 0.057762540061116495)	(165, 0.05794887083550719)	(170, 0.05869419393306998)	(175, 0.05925318625624208)	(180, 0.05962584780502348)	(185, 0.05981217857941418)	(190, 0.1030409182380562)	(195, 0.113661772378326)	(200, 0.113661772378326)	(205, 0.113661772378326)	(210, 0.113661772378326)	(215, 0.113661772378326)	(220, 0.113661772378326)	(225, 0.11384810315271669)	(230, 0.11459342625027949)	(235, 0.11459342625027949)	(240, 0.11459342625027949)	(245, 0.11459342625027949)
SRR3667006_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001863307743906984)	(15, 0.0014906461951255871)	(20, 0.0018633077439069838)	(25, 0.0018633077439069838)	(30, 0.0018633077439069838)	(35, 0.0018633077439069838)	(40, 0.0018633077439069838)	(45, 0.002049638518297682)	(50, 0.007453230975627935)	(55, 0.03037191622568384)	(60, 0.03540284713423269)	(65, 0.03763881642692107)	(70, 0.03819780875009317)	(75, 0.03819780875009317)	(80, 0.03894313184765596)	(85, 0.05217261682939554)	(90, 0.05217261682939554)	(95, 0.05217261682939554)	(100, 0.05254527837817694)	(105, 0.055712901542818806)	(110, 0.055899232317209516)	(115, 0.055899232317209516)	(120, 0.055899232317209516)	(125, 0.055899232317209516)	(130, 0.055899232317209516)	(135, 0.055899232317209516)	(140, 0.055899232317209516)	(145, 0.055899232317209516)	(150, 0.055899232317209516)	(155, 0.0566445554147723)	(160, 0.057762540061116495)	(165, 0.05794887083550719)	(170, 0.05869419393306998)	(175, 0.05925318625624208)	(180, 0.05962584780502348)	(185, 0.05981217857941418)	(190, 0.10155027204293061)	(195, 0.11179846463441903)	(200, 0.11179846463441903)	(205, 0.11179846463441903)	(210, 0.11179846463441903)	(215, 0.11179846463441903)	(220, 0.11179846463441903)	(225, 0.11179846463441903)	(230, 0.11179846463441903)	(235, 0.11179846463441903)	(240, 0.11179846463441903)	(245, 0.11179846463441902)
SRR3667011_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.002895495766785189)	(25, 0.002895495766785189)	(30, 0.002895495766785189)	(35, 0.024785443763681216)	(40, 0.12728599390787693)	(45, 0.1849642695822379)	(50, 0.3750246117140177)	(55, 0.9066376344957783)	(60, 1.0669322801450063)	(65, 1.0684379379437348)	(70, 1.1014465896850858)	(75, 1.1430259088961212)	(80, 1.1738339838547156)	(85, 1.256066063631415)	(90, 1.3343602691652865)	(95, 1.3742022909162508)	(100, 1.403273068414774)	(105, 1.4335020442200115)	(110, 1.438482296938882)	(115, 1.443694189319095)	(120, 1.4710276693575477)	(125, 1.4834203912393882)	(130, 1.4850418688687879)	(135, 1.4902537612490012)	(140, 1.493959995830486)	(145, 1.4998668071947279)	(150, 1.501025005501442)	(155, 1.5171239619647676)	(160, 1.533454558089436)	(165, 1.5364658736868928)	(170, 1.5387822703003207)	(175, 1.5406353875910632)	(180, 1.54202522555912)	(185, 1.5427201445431487)	(190, 1.6499693077448723)	(195, 1.6773027877833244)	(200, 1.6786926257513812)	(205, 1.6793875447354096)	(210, 1.6804299232114523)	(215, 1.681472301687495)	(220, 1.6834412388089088)	(225, 1.6834412388089088)	(230, 1.6855259957609943)	(235, 1.686915833729051)	(240, 1.686915833729051)	
SRR3667011_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.00023163966134281513)	(70, 0.0005790991533570378)	(75, 0.0005790991533570378)	(80, 0.0017372974600711132)	(85, 0.0017372974600711132)	(90, 0.0017372974600711132)	(95, 0.001968937121413929)	(100, 0.02327978596495292)	(105, 0.06926025874150173)	(110, 0.11558819101006472)	(115, 0.19399821637460765)	(120, 0.5658956926604973)	(125, 0.5821104689544944)	(130, 0.58257374827718)	(135, 0.611876165437046)	(140, 0.6371248885234129)	(145, 0.6532238449867387)	(150, 0.7131026974438562)	(155, 0.7456480698625219)	(160, 0.7763403249904448)	(165, 0.790007065009671)	(170, 0.8123602923292527)	(175, 0.812476112159924)	(180, 0.8184987433548372)	(185, 0.8352926188021913)	(190, 0.8401570516903905)	(195, 0.8421259888118044)	(200, 0.8459480432239609)	(205, 0.8491909984827603)	(210, 0.8530130528949167)	(215, 0.8552136296776733)	(220, 0.868185450712871)	(225, 0.8765244785212124)	(230, 0.8781459561506122)	(235, 0.8796516139493404)	(240, 0.8813889114094116)	
