Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR3666996_1	(1, 33.41891903700791)	(2, 33.43886048848692)	(3, 33.487080001747714)	(4, 33.4435181544108)	(5, 33.867112334513045)	(6, 37.789417573294884)	(7, 37.814462358544155)	(8, 37.75364180539171)	(9, 37.87172630751081)	(10, 37.50341066981256)	(15, 37.54931970114039)	(20, 37.617000043692926)	(25, 37.55144317734958)	(30, 37.45046183422904)	(35, 37.393051077030634)	(40, 37.40578144798358)	(45, 36.96072530257352)	(50, 37.45314807532661)	(55, 37.272439952457006)	(60, 37.00437632172257)	(65, 37.38979673873149)	(70, 36.974243668839684)	(75, 37.03717077092473)	(80, 36.68234440813045)	(85, 36.96183651711904)	(90, 36.70796441617002)	(95, 36.88614223045598)	(100, 36.67574038957294)	(105, 36.10669999038739)	(110, 36.49699999126126)	(115, 36.11492314279972)	(120, 35.712755935787754)	(125, 35.70151966652976)	(130, 35.65439864374787)	(135, 35.52945808189656)	(140, 35.570796375108145)	(145, 35.487397645742845)	(150, 35.45155421170836)	(155, 35.44578654385613)	(160, 35.424668140626224)	(165, 35.457699399638216)	(170, 34.78695633176324)	(175, 34.77473586702904)	(180, 34.97671959521459)	(185, 35.01379870839196)	(190, 34.771371394115235)	(195, 34.774010539102164)	(200, 34.14675240202439)	(205, 34.58794896443241)	(210, 34.160543563750764)	(215, 33.95601328322992)	(220, 33.61094468233855)	(225, 33.80151009350694)	(230, 33.53475920405917)	(235, 32.210436165657306)	(240, 31.47912329916367)	(245, 31.043450523905655)	(250, 31.077153518775834)	(255, 28.95980627448795)	(260, 29.205124619848288)	(265, 29.199328835599676)	(270, 28.129632607403785)	(275, 28.834505540601953)	(280, 29.298278393400217)	(285, 27.931560457230745)	(290, 25.63506639545701)	(295, 25.192524193942667)	(300, 19.943285801964166)
SRR3666996_2	(1, 32.40711320837156)	(2, 32.852422772753094)	(3, 33.60958622798969)	(4, 33.43045396950234)	(5, 33.31852143138026)	(6, 37.434552365971946)	(7, 36.166487525669595)	(8, 35.94944728448464)	(9, 36.89246297024512)	(10, 37.1695320487613)	(15, 37.134820640538294)	(20, 37.115768777035)	(25, 36.92406169441167)	(30, 37.049147551011494)	(35, 36.59884475903352)	(40, 36.701385065757854)	(45, 36.606090793900464)	(50, 36.838533665399574)	(55, 36.514836054350646)	(60, 35.77148749497526)	(65, 36.04690214446755)	(70, 36.13032315570547)	(75, 36.895429679990215)	(80, 36.335478966041556)	(85, 35.836316129821554)	(90, 36.60328049355961)	(95, 35.77519967841725)	(100, 36.35265701327414)	(105, 36.0019819457674)	(110, 36.33891796946685)	(115, 36.118892277577274)	(120, 35.81813462899688)	(125, 34.81049871977489)	(130, 36.19058488373109)	(135, 34.86457446391525)	(140, 34.76170967657365)	(145, 33.89637947758912)	(150, 34.59873985196319)	(155, 33.556392935480766)	(160, 34.08878887713994)	(165, 33.75038232646748)	(170, 32.98651239611644)	(175, 32.27610525119941)	(180, 33.122540220744376)	(185, 33.208059004989906)	(190, 32.45053875261074)	(195, 32.295925055273486)	(200, 31.419841846117787)	(205, 28.237430743686097)	(210, 29.303790963908067)	(215, 27.98779865419907)	(220, 26.904741763523553)	(225, 24.613770864283843)	(230, 27.78234379096391)	(235, 27.217581053919425)	(240, 24.70906930000874)	(245, 25.58328060823211)	(250, 22.455878703137287)	(255, 21.400493960518723)	(260, 21.216929274921565)	(265, 22.12998802751051)	(270, 18.224032369416843)	(275, 18.57298237334941)	(280, 16.0902044062257)	(285, 17.010749023411897)	(290, 13.975785858479929)	(295, 15.292833415940908)	(300, 12.199201567667465)
SRR3666997_1	(1, 33.4309447893942)	(2, 33.43879006544722)	(3, 33.49016193992281)	(4, 33.46637439167645)	(5, 33.868727974492366)	(6, 37.78568132236953)	(7, 37.78972982043967)	(8, 37.74618224534318)	(9, 37.866546400402754)	(10, 37.523527437489506)	(15, 37.56055965766068)	(20, 37.61869021647927)	(25, 37.56974324551099)	(30, 37.47268417519719)	(35, 37.39088773284108)	(40, 37.39027101862728)	(45, 36.9101107568384)	(50, 37.41452844436986)	(55, 37.24715136767914)	(60, 36.984909380768585)	(65, 37.361264473905024)	(70, 36.960593220338986)	(75, 37.019726464171846)	(80, 36.673149857358624)	(85, 36.938957878838735)	(90, 36.658915086423896)	(95, 36.860035240812216)	(100, 36.68734687028025)	(105, 36.090312971975166)	(110, 36.43268165799631)	(115, 36.05516445712368)	(120, 35.69557392179896)	(125, 35.59876657157241)	(130, 35.572944285954016)	(135, 35.521878670917935)	(140, 35.54100520221513)	(145, 35.475239134082905)	(150, 35.38832438328579)	(155, 35.41217905688874)	(160, 35.36884963920121)	(165, 35.43145154501936)	(170, 34.79485221623209)	(175, 34.769007761694986)	(180, 34.952125026221935)	(185, 35.008223201174744)	(190, 34.7282903293476)	(195, 34.68724984266834)	(200, 34.08006293266205)	(205, 34.52298720369205)	(210, 34.17409691629956)	(215, 33.97059366477869)	(220, 33.59565764631844)	(225, 33.77348437172226)	(230, 33.578430878959516)	(235, 32.17619886721208)	(240, 31.438242080973357)	(245, 30.92591986574366)	(250, 30.89063142437592)	(255, 28.95840151038389)	(260, 29.198409901405494)	(265, 29.277092511013215)	(270, 28.259358086847072)	(275, 28.82889448290329)	(280, 29.257436542899097)	(285, 28.00252989301447)	(290, 25.86307111390812)	(295, 25.08796303547623)	(300, 19.909259860020324)
SRR3666997_2	(1, 32.638718744755835)	(2, 32.970527773116295)	(3, 33.76109666051351)	(4, 33.52024249035073)	(5, 33.38867679140795)	(6, 37.17127454270851)	(7, 36.2237372042289)	(8, 36.07400570565531)	(9, 36.9769466353415)	(10, 37.21681070649438)	(15, 37.17063265648599)	(20, 37.1887313307602)	(25, 36.97274290988421)	(30, 37.10233260614198)	(35, 36.68242993790905)	(40, 36.7371580802148)	(45, 36.61405856687363)	(50, 36.90666638697768)	(55, 36.57962325893607)	(60, 35.94939587179057)	(65, 36.16883285786206)	(70, 36.26325725792918)	(75, 36.92447558315153)	(80, 36.41263215304581)	(85, 35.92310790401075)	(90, 36.68362560832354)	(95, 35.92539436147005)	(100, 36.43106225876825)	(105, 36.08454858197684)	(110, 36.43584913576103)	(115, 36.20714465514348)	(120, 35.96688202718577)	(125, 34.98752307434133)	(130, 36.28716647088438)	(135, 35.09022486994463)	(140, 34.96075683839571)	(145, 34.16807769760027)	(150, 34.81866504447055)	(155, 33.91875314650109)	(160, 34.28822369525088)	(165, 33.99029780097008)	(170, 33.2750351366659)	(175, 32.56363407522393)	(180, 33.42533196282856)	(185, 33.453529399425236)	(190, 32.636831616706175)	(195, 32.55570892156657)	(200, 31.752109248809546)	(205, 28.67258920517715)	(210, 29.72217490717627)	(215, 28.424916615971973)	(220, 27.46778964150112)	(225, 25.130041324914522)	(230, 27.955830588827588)	(235, 27.514467915504184)	(240, 25.067101592162953)	(245, 25.98364204652724)	(250, 22.968748295609494)	(255, 21.81577478970443)	(260, 21.558633131253803)	(265, 22.68187367581968)	(270, 18.69435086320824)	(275, 18.943131044030963)	(280, 16.527574416311804)	(285, 17.515336368022485)	(290, 14.218921356799731)	(295, 15.475119269071076)	(300, 12.369049956341577)
SRR3666998_1	(1, 33.22310209169166)	(2, 33.355092899154755)	(3, 33.37747438943637)	(4, 33.42601955361664)	(5, 33.279858216803646)	(6, 34.98039574650411)	(7, 35.6528882483543)	(8, 36.31776964125735)	(9, 36.677088770303435)	(10, 34.82719978187201)	(15, 37.23135044599384)	(20, 37.714230514548355)	(25, 37.79970396915047)	(30, 38.33141121022085)	(35, 37.93992287617341)	(40, 37.91418844700658)	(45, 37.42784715459821)	(50, 38.17555797919994)	(55, 38.03000585843253)	(60, 37.68936816194737)	(65, 37.33670811130847)	(70, 37.46377956436384)	(75, 37.79335212961102)	(80, 37.63905549474734)	(85, 37.709864564303714)	(90, 37.4020847047642)	(95, 37.80071749368006)	(100, 37.83598530734984)	(105, 37.6206600786049)	(110, 37.091077290822014)	(115, 37.12048331684364)	(120, 37.00344102272462)	(125, 36.852428659348874)	(130, 37.02595685672663)	(135, 37.07778799186682)	(140, 36.96963611009403)	(145, 36.68131548810795)	(150, 36.74977992100527)	(155, 36.646321759385486)	(160, 36.66489278410751)	(165, 36.30649281826691)	(170, 36.019882831367546)	(175, 36.1725929607627)	(180, 36.13930431080662)	(185, 35.89017004232474)	(190, 35.67713072608289)	(195, 35.54529894553967)	(200, 35.611629478888304)	(205, 35.53913273812306)	(210, 35.3311893298431)	(215, 35.26727901650072)	(220, 35.3060983248215)	(225, 35.289611301139935)	(230, 34.99924179379296)	(235, 34.83649160510066)	(240, 34.76061142634634)	(245, 34.58476834947102)	(250, 32.023341569429874)										
SRR3666998_2	(1, 31.70082577026448)	(2, 31.562306703540685)	(3, 32.58184473960971)	(4, 32.81410041678028)	(5, 32.644996689128654)	(6, 36.13596385307522)	(7, 35.881700619327695)	(8, 35.36071748529584)	(9, 34.649620223581195)	(10, 34.4723257897402)	(15, 37.07603474467339)	(20, 37.338414676897905)	(25, 37.637468157207955)	(30, 37.57122424336852)	(35, 36.995803373193624)	(40, 37.1217582674405)	(45, 37.39930199041795)	(50, 37.39987223931757)	(55, 37.51480602195215)	(60, 37.59185098144092)	(65, 37.32028060827023)	(70, 37.15503784175408)	(75, 37.2641002452505)	(80, 36.8888721827941)	(85, 36.96498290005687)	(90, 37.411500198655375)	(95, 37.47264242811402)	(100, 37.615192851522636)	(105, 37.28393306482398)	(110, 37.51837563197988)	(115, 37.16881254260395)	(120, 37.26850053559256)	(125, 37.005802665114935)	(130, 37.47934201710787)	(135, 36.99167744348016)	(140, 37.30686623503235)	(145, 37.094348383276916)	(150, 37.28441004506803)	(155, 37.13171141004106)	(160, 36.91041827346312)	(165, 37.01590208825924)	(170, 36.67763603289173)	(175, 36.67434338036834)	(180, 35.98177703334372)	(185, 36.02964875992817)	(190, 35.90855526860108)	(195, 35.62673439338106)	(200, 35.92201002143303)	(205, 35.47047994484198)	(210, 35.40103538137326)	(215, 34.68823412551565)	(220, 34.317808325899726)	(225, 34.1098486187455)	(230, 34.44769864910332)	(235, 33.983824396563094)	(240, 33.242542794520226)	(245, 33.56770572749758)	(250, 30.389693571135542)										
SRR3666999_1	(1, 33.26872075604298)	(2, 33.40972671734078)	(3, 33.475553747233576)	(4, 33.500952451406484)	(5, 33.59322619025602)	(6, 35.21349090393495)	(7, 35.85318685925296)	(8, 36.51232638567809)	(9, 36.746610937471104)	(10, 35.02152971710036)	(15, 37.49691701651532)	(20, 37.90551435458317)	(25, 38.04402853038906)	(30, 38.44594329677646)	(35, 38.078423577487996)	(40, 38.13709589919365)	(45, 37.543984415456315)	(50, 38.36357270278292)	(55, 37.98592977286853)	(60, 37.837690846755294)	(65, 37.42534592901364)	(70, 37.553411247855294)	(75, 38.19809947831235)	(80, 37.92907628460857)	(85, 37.829774339173376)	(90, 37.55978785075547)	(95, 38.04227640006212)	(100, 38.03242996533731)	(105, 37.652354225517165)	(110, 37.39085694548953)	(115, 37.405131158487976)	(120, 37.218072928231315)	(125, 37.07917548155503)	(130, 37.07158162226841)	(135, 37.320344659565414)	(140, 37.125599669403144)	(145, 36.88505837871845)	(150, 36.868434784217705)	(155, 36.96692180257433)	(160, 36.954378783021454)	(165, 36.49969538891532)	(170, 36.13047710100231)	(175, 36.31213076329992)	(180, 36.18673986121819)	(185, 36.07239599074787)	(190, 35.816577332305314)	(195, 35.67124255693784)	(200, 36.00052307255781)	(205, 35.788314037218)	(210, 35.621095235493215)	(215, 35.514420894196604)	(220, 35.64895257599684)	(225, 35.469588926174495)	(230, 35.50941077773392)	(235, 35.596975750367314)	(240, 35.36900543293453)	(245, 35.35674912096725)	(250, 34.98562041011142)	(255, 31.201513919881165)									
SRR3666999_2	(1, 32.90465005887321)	(2, 32.04488542841819)	(3, 32.78156497937896)	(4, 32.60265823331052)	(5, 32.97742474400942)	(6, 36.12214803992282)	(7, 36.04340589225278)	(8, 35.838483968609175)	(9, 35.108394518318505)	(10, 35.00357924457349)	(15, 37.40461985167649)	(20, 37.69919920105047)	(25, 38.03217867865091)	(30, 37.973460820032926)	(35, 37.44194713966123)	(40, 37.48391857569107)	(45, 37.689772643207654)	(50, 37.67892062063987)	(55, 37.82753461419536)	(60, 37.72992748439928)	(65, 37.80247761635794)	(70, 37.735728957319)	(75, 37.667930392314055)	(80, 37.33770240159096)	(85, 37.341523529241506)	(90, 37.94047646946365)	(95, 37.956222695126115)	(100, 38.1505745212323)	(105, 37.64504394486077)	(110, 37.99087427144046)	(115, 37.7231901616926)	(120, 37.77772692789254)	(125, 37.44090247452692)	(130, 38.085229319320064)	(135, 37.91881183233415)	(140, 37.888033207509935)	(145, 37.80720153948634)	(150, 37.98652949448597)	(155, 37.67338685121409)	(160, 37.74269396621239)	(165, 37.623911363025655)	(170, 37.45868522013742)	(175, 37.26287948879267)	(180, 37.020373043188634)	(185, 37.21973403402292)	(190, 37.16074781342907)	(195, 36.90365145031235)	(200, 37.152492921866035)	(205, 36.64975150260625)	(210, 36.3347980561133)	(215, 36.04514656533755)	(220, 35.92187253257008)	(225, 35.43915194433478)	(230, 35.662079303197785)	(235, 35.485340145890135)	(240, 34.62538877682576)	(245, 35.047163980235766)	(250, 33.813210485348904)	(255, 30.446635750447747)									
SRR3667000_1	(1, 33.33226538633359)	(2, 33.479971481302655)	(3, 33.55019877351552)	(4, 33.56453483387408)	(5, 33.65002323912837)	(6, 35.39385133275273)	(7, 36.15614889286987)	(8, 36.41795685193291)	(9, 36.758723698044754)	(10, 34.98216588676453)	(15, 37.498543831703586)	(20, 37.89074360698346)	(25, 37.98659530975728)	(30, 38.419023595612096)	(35, 38.38347121094182)	(40, 38.06052002202106)	(45, 37.74343113453607)	(50, 38.345278063572856)	(55, 38.35033253124986)	(60, 37.73455864767173)	(65, 37.50365744146063)	(70, 37.608665045148314)	(75, 38.194064159781234)	(80, 37.98427909369458)	(85, 37.95685201308804)	(90, 37.80113901486946)	(95, 38.29731266499695)	(100, 38.21521153455629)	(105, 37.9976460925407)	(110, 37.65906610887724)	(115, 37.687066596266064)	(120, 37.43551349570602)	(125, 37.253745613591114)	(130, 37.69408000433236)	(135, 37.594376049244545)	(140, 37.4779098051781)	(145, 37.13321900653017)	(150, 37.34364922129909)	(155, 37.22411125785295)	(160, 37.18978450707404)	(165, 36.74343570187513)	(170, 36.31527314574542)	(175, 36.451743574700444)	(180, 36.42831960647156)	(185, 36.25214612902498)	(190, 36.034460960074185)	(195, 36.05147145764792)	(200, 36.049603985865346)	(205, 35.763958878787115)	(210, 35.60754573927485)	(215, 35.56708487151484)	(220, 35.80522497948675)	(225, 35.58332167469233)	(230, 35.28662024271034)	(235, 35.329251154205465)	(240, 35.19940608626191)	(245, 35.16031210543089)	(250, 35.27105060834391)	(255, 33.84515000158228)									
SRR3667000_2	(1, 31.165638579660573)	(2, 31.411404771466863)	(3, 32.1459688009061)	(4, 32.04654143107906)	(5, 32.32921496870615)	(6, 35.90712471063901)	(7, 35.62721730615634)	(8, 35.27988484222211)	(9, 34.54531178787865)	(10, 34.48788722479683)	(15, 37.05174609334458)	(20, 37.37145964288454)	(25, 37.61415736725494)	(30, 37.649569286445946)	(35, 37.10142521769189)	(40, 37.02715630443218)	(45, 37.240649621400145)	(50, 37.33911481742207)	(55, 37.39151641159235)	(60, 36.96110160963525)	(65, 37.26025640447106)	(70, 37.17634598809583)	(75, 37.35397715734895)	(80, 36.84967532027996)	(85, 36.93079585839049)	(90, 37.51876080236467)	(95, 37.301715291410005)	(100, 37.585854373970534)	(105, 37.35173857908109)	(110, 37.56074353871356)	(115, 37.082479725979184)	(120, 37.147608410164764)	(125, 36.57361688413967)	(130, 37.647572973265696)	(135, 36.916247269707746)	(140, 37.412369859242645)	(145, 37.040826402270895)	(150, 37.327095903640554)	(155, 36.77595001554469)	(160, 36.87578581582689)	(165, 37.000704921362)	(170, 36.81825394318207)	(175, 36.68876322855789)	(180, 35.97723311596001)	(185, 36.12502831870388)	(190, 36.01289721574507)	(195, 35.665022136174706)	(200, 36.346004883046085)	(205, 35.801263489673055)	(210, 35.64637199772544)	(215, 35.165359099565855)	(220, 34.754773402171665)	(225, 34.42969555288788)	(230, 35.05920607269543)	(235, 34.945031636143725)	(240, 33.85510014351346)	(245, 34.05496719733512)	(250, 32.459407874025906)	(255, 32.825928482227276)									
