Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR3666996_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.25)	(35.0, 0.0)	(36.0, 0.5)	(37.0, 0.5)	(38.0, 0.5)	(39.0, 1.5833333333333333)	(40.0, 1.75)	(41.0, 1.8333333333333333)	(42.0, 2.5)	(43.0, 2.0)	(44.0, 6.0)	(45.0, 34.25)	(46.0, 209.16666666666669)	(47.0, 1168.4166666666667)	(48.0, 1926.4166666666663)	(49.0, 2000.166666666666)	(50.0, 1713.1666666666654)	(51.0, 1706.7499999999955)	(52.0, 2789.916666666676)	(53.0, 4428.416666666681)	(54.0, 5555.999999999988)	(55.0, 4675.083333333336)	(56.0, 2617.083333333335)	(57.0, 2686.3333333333344)	(58.0, 1596.3333333333312)	(59.0, 1069.5000000000018)	(60.0, 1433.6666666666633)	(61.0, 729.8333333333338)	(62.0, 235.91666666666674)	(63.0, 128.33333333333331)	(64.0, 116.83333333333333)	(65.0, 130.0)	(66.0, 324.75)	(67.0, 826.25)	(68.0, 259.25)	(69.0, 17.0)	(70.0, 3.25)	(71.0, 1.25)	(72.0, 0.25)	(73.0, 0.25)	(74.0, 0.0)	(75.0, 0.25)	(76.0, 0.25)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.25)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR3666996_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.5)	(37.0, 0.75)	(38.0, 0.75)	(39.0, 0.75)	(40.0, 0.3333333333333333)	(41.0, 0.3333333333333333)	(42.0, 1.5833333333333333)	(43.0, 5.666666666666665)	(44.0, 10.916666666666668)	(45.0, 20.083333333333332)	(46.0, 85.24999999999994)	(47.0, 276.41666666666737)	(48.0, 1118.583333333336)	(49.0, 2814.5000000000186)	(50.0, 2763.583333333366)	(51.0, 2141.1666666666283)	(52.0, 3086.500000000057)	(53.0, 5495.999999999855)	(54.0, 5414.249999999834)	(55.0, 4017.333333333456)	(56.0, 3311.1666666667134)	(57.0, 2632.250000000011)	(58.0, 1977.333333333315)	(59.0, 1750.6666666666556)	(60.0, 810.416666666668)	(61.0, 313.33333333333326)	(62.0, 175.66666666666677)	(63.0, 158.3333333333334)	(64.0, 126.49999999999993)	(65.0, 105.83333333333329)	(66.0, 133.74999999999986)	(67.0, 359.4166666666659)	(68.0, 581.8333333333323)	(69.0, 442.08333333333286)	(70.0, 205.91666666666666)	(71.0, 74.58333333333333)	(72.0, 21.833333333333332)	(73.0, 6.416666666666666)	(74.0, 2.916666666666667)	(75.0, 1.0)	(76.0, 1.75)	(77.0, 0.5)	(78.0, 1.0)	(79.0, 0.5)	(80.0, 0.0)	(81.0, 0.3333333333333333)	(82.0, 0.3333333333333333)	(83.0, 0.8333333333333333)	(84.0, 0.8333333333333333)	(85.0, 0.5833333333333333)	(86.0, 0.0)	(87.0, 0.25)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.25)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.25)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR3666997_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.25)	(31.0, 0.0)	(32.0, 0.25)	(33.0, 0.25)	(34.0, 0.25)	(35.0, 0.25)	(36.0, 0.25)	(37.0, 0.0)	(38.0, 0.25)	(39.0, 0.75)	(40.0, 0.5)	(41.0, 0.0)	(42.0, 1.0)	(43.0, 1.75)	(44.0, 5.0)	(45.0, 55.0)	(46.0, 271.66666666666663)	(47.0, 508.0)	(48.0, 990.3333333333334)	(49.0, 1057.2500000000002)	(50.0, 727.2500000000001)	(51.0, 931.0833333333344)	(52.0, 1161.1666666666672)	(53.0, 1509.9999999999966)	(54.0, 1769.9999999999984)	(55.0, 1493.7499999999986)	(56.0, 1033.5833333333348)	(57.0, 1069.0833333333344)	(58.0, 740.5833333333338)	(59.0, 495.58333333333235)	(60.0, 726.0833333333344)	(61.0, 482.08333333333286)	(62.0, 135.5)	(63.0, 76.33333333333331)	(64.0, 70.33333333333333)	(65.0, 53.25)	(66.0, 116.0)	(67.0, 368.5)	(68.0, 174.5)	(69.0, 15.5)	(70.0, 1.75)	(71.0, 0.5)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.25)	(75.0, 0.25)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.25)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR3666997_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.5)	(39.0, 0.75)	(40.0, 0.3333333333333333)	(41.0, 0.0)	(42.0, 1.1666666666666665)	(43.0, 2.1666666666666665)	(44.0, 3.666666666666667)	(45.0, 9.416666666666668)	(46.0, 128.83333333333275)	(47.0, 219.25000000000114)	(48.0, 440.16666666666464)	(49.0, 1383.9166666666606)	(50.0, 1567.9166666666567)	(51.0, 1008.583333333343)	(52.0, 1357.3333333333248)	(53.0, 2138.083333333303)	(54.0, 1889.833333333296)	(55.0, 1284.249999999999)	(56.0, 1126.9166666666695)	(57.0, 1002.1666666666715)	(58.0, 825.9166666666697)	(59.0, 849.3333333333358)	(60.0, 368.9166666666663)	(61.0, 115.24999999999993)	(62.0, 61.9166666666667)	(63.0, 57.16666666666669)	(64.0, 44.75)	(65.0, 46.50000000000001)	(66.0, 75.24999999999999)	(67.0, 180.33333333333354)	(68.0, 301.0000000000001)	(69.0, 218.2500000000001)	(70.0, 99.66666666666667)	(71.0, 33.166666666666664)	(72.0, 10.916666666666668)	(73.0, 5.583333333333333)	(74.0, 2.25)	(75.0, 1.0)	(76.0, 0.5)	(77.0, 1.0)	(78.0, 1.0)	(79.0, 0.25)	(80.0, 0.25)	(81.0, 0.5)	(82.0, 0.0)	(83.0, 0.3333333333333333)	(84.0, 0.25)	(85.0, 0.0)	(86.0, 0.5)	(87.0, 0.25)	(88.0, 0.25)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.25)	(93.0, 0.25)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR3666998_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.6666666666666666)	(37.0, 1.3333333333333333)	(38.0, 3.3333333333333335)	(39.0, 7.666666666666663)	(40.0, 13.666666666666673)	(41.0, 22.33333333333332)	(42.0, 24.99999999999998)	(43.0, 36.333333333333314)	(44.0, 65.66666666666681)	(45.0, 319.166666666666)	(46.0, 783.5000000000191)	(47.0, 1122.000000000024)	(48.0, 2095.666666666502)	(49.0, 5051.666666666542)	(50.0, 7317.666666664481)	(51.0, 8851.666666664885)	(52.0, 13990.500000007569)	(53.0, 15955.333333344473)	(54.0, 15139.666666676323)	(55.0, 15752.333333344104)	(56.0, 13713.000000007063)	(57.0, 9644.499999999662)	(58.0, 6509.333333331883)	(59.0, 4266.00000000059)	(60.0, 2380.999999999965)	(61.0, 1094.3333333333637)	(62.0, 1197.6666666666736)	(63.0, 1398.3333333332946)	(64.0, 861.000000000028)	(65.0, 309.99999999999983)	(66.0, 96.66666666666637)	(67.0, 9.333333333333332)	(68.0, 1.6666666666666665)	(69.0, 0.3333333333333333)	(70.0, 0.3333333333333333)	(71.0, 0.0)	(72.0, 0.3333333333333333)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR3666998_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.3333333333333333)	(16.0, 0.6666666666666666)	(17.0, 0.3333333333333333)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.3333333333333333)	(23.0, 0.3333333333333333)	(24.0, 0.0)	(25.0, 0.6666666666666666)	(26.0, 0.6666666666666666)	(27.0, 0.6666666666666666)	(28.0, 1.0)	(29.0, 1.0)	(30.0, 1.6666666666666665)	(31.0, 1.3333333333333333)	(32.0, 1.3333333333333333)	(33.0, 1.3333333333333333)	(34.0, 0.3333333333333333)	(35.0, 0.6666666666666666)	(36.0, 2.333333333333333)	(37.0, 4.666666666666666)	(38.0, 6.333333333333331)	(39.0, 5.999999999999998)	(40.0, 10.0)	(41.0, 14.000000000000007)	(42.0, 39.66666666666667)	(43.0, 380.33333333332916)	(44.0, 431.6666666666596)	(45.0, 811.0000000000223)	(46.0, 2893.3333333335313)	(47.0, 7695.333333330805)	(48.0, 10064.83333333376)	(49.0, 7275.999999997854)	(50.0, 10340.000000000924)	(51.0, 15716.666666677373)	(52.0, 18370.833333338025)	(53.0, 13173.00000000608)	(54.0, 9615.99999999961)	(55.0, 6659.333333331749)	(56.0, 10165.166666667274)	(57.0, 7207.8333333312485)	(58.0, 1708.6666666665574)	(59.0, 1372.6666666666338)	(60.0, 577.8333333333292)	(61.0, 399.1666666666614)	(62.0, 382.66666666666237)	(63.0, 480.3333333333235)	(64.0, 374.6666666666628)	(65.0, 146.9999999999998)	(66.0, 91.99999999999977)	(67.0, 1074.000000000035)	(68.0, 1098.3333333333628)	(69.0, 39.66666666666667)	(70.0, 8.666666666666664)	(71.0, 5.999999999999998)	(72.0, 3.0)	(73.0, 2.333333333333333)	(74.0, 1.6666666666666665)	(75.0, 1.9999999999999998)	(76.0, 1.9999999999999998)	(77.0, 1.0)	(78.0, 0.0)	(79.0, 1.0)	(80.0, 1.0)	(81.0, 1.9999999999999998)	(82.0, 0.0)	(83.0, 0.6666666666666666)	(84.0, 0.6666666666666666)	(85.0, 0.3333333333333333)	(86.0, 0.3333333333333333)	(87.0, 0.3333333333333333)	(88.0, 0.3333333333333333)	(89.0, 1.0)	(90.0, 0.0)	(91.0, 0.6666666666666666)	(92.0, 1.0)	(93.0, 0.3333333333333333)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 1.0)	(97.0, 0.3333333333333333)	(98.0, 0.0)	(99.0, 0.6666666666666666)	(100.0, 2.0)
SRR3666999_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.3333333333333333)	(27.0, 0.3333333333333333)	(28.0, 0.6666666666666666)	(29.0, 0.3333333333333333)	(30.0, 0.6666666666666666)	(31.0, 1.0)	(32.0, 1.3333333333333333)	(33.0, 1.0)	(34.0, 1.6666666666666665)	(35.0, 0.3333333333333333)	(36.0, 1.1666666666666665)	(37.0, 1.1666666666666665)	(38.0, 2.6666666666666665)	(39.0, 4.333333333333333)	(40.0, 1.3333333333333333)	(41.0, 3.0)	(42.0, 3.666666666666667)	(43.0, 4.0)	(44.0, 3.666666666666667)	(45.0, 54.66666666666678)	(46.0, 319.83333333333263)	(47.0, 973.3333333333741)	(48.0, 1559.4999999999247)	(49.0, 2438.9999999999914)	(50.0, 4041.666666667387)	(51.0, 6173.833333332189)	(52.0, 10501.666666667888)	(53.0, 11152.16666666907)	(54.0, 7169.166666664617)	(55.0, 5327.666666666291)	(56.0, 7823.666666664026)	(57.0, 8234.833333330436)	(58.0, 5883.666666665788)	(59.0, 3676.8333333338855)	(60.0, 2701.833333333443)	(61.0, 1516.4999999999352)	(62.0, 559.8333333333273)	(63.0, 256.00000000000284)	(64.0, 194.8333333333345)	(65.0, 96.66666666666639)	(66.0, 77.16666666666666)	(67.0, 60.66666666666682)	(68.0, 16.333333333333343)	(69.0, 1.0)	(70.0, 1.0)	(71.0, 1.0)	(72.0, 0.3333333333333333)	(73.0, 0.0)	(74.0, 0.3333333333333333)	(75.0, 1.1666666666666665)	(76.0, 1.1666666666666665)	(77.0, 0.3333333333333333)	(78.0, 0.3333333333333333)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.3333333333333333)	(83.0, 0.3333333333333333)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR3666999_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.3333333333333333)	(23.0, 0.3333333333333333)	(24.0, 0.3333333333333333)	(25.0, 0.0)	(26.0, 0.3333333333333333)	(27.0, 0.6666666666666666)	(28.0, 0.3333333333333333)	(29.0, 0.3333333333333333)	(30.0, 0.3333333333333333)	(31.0, 1.3333333333333333)	(32.0, 1.3333333333333333)	(33.0, 1.1666666666666665)	(34.0, 1.1666666666666665)	(35.0, 1.6666666666666665)	(36.0, 3.166666666666667)	(37.0, 4.5)	(38.0, 2.1666666666666665)	(39.0, 3.833333333333334)	(40.0, 3.3333333333333335)	(41.0, 6.333333333333331)	(42.0, 34.666666666666636)	(43.0, 160.00000000000017)	(44.0, 706.3333333333437)	(45.0, 3121.333333333635)	(46.0, 4105.83333333407)	(47.0, 6857.999999998232)	(48.0, 4642.166666666915)	(49.0, 2362.499999999957)	(50.0, 7610.833333330882)	(51.0, 18990.166666669105)	(52.0, 8539.333333330986)	(53.0, 5369.666666666252)	(54.0, 5022.999999999902)	(55.0, 5177.999999999763)	(56.0, 4829.000000000078)	(57.0, 1844.9999999998608)	(58.0, 592.833333333331)	(59.0, 326.33333333333223)	(60.0, 255.66666666666947)	(61.0, 117.83333333333279)	(62.0, 67.83333333333343)	(63.0, 99.33333333333303)	(64.0, 84.49999999999989)	(65.0, 12.666666666666671)	(66.0, 41.83333333333336)	(67.0, 48.3333333333334)	(68.0, 21.83333333333332)	(69.0, 2.8333333333333335)	(70.0, 3.3333333333333335)	(71.0, 2.6666666666666665)	(72.0, 1.3333333333333333)	(73.0, 1.0)	(74.0, 0.6666666666666666)	(75.0, 0.6666666666666666)	(76.0, 0.3333333333333333)	(77.0, 0.3333333333333333)	(78.0, 0.3333333333333333)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.3333333333333333)	(83.0, 0.3333333333333333)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.6666666666666666)	(89.0, 0.6666666666666666)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.3333333333333333)	(99.0, 1.0)	(100.0, 1.5)
SRR3667000_1	(0.0, 3.0)	(1.0, 1.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.3333333333333333)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.3333333333333333)	(28.0, 0.6666666666666666)	(29.0, 0.3333333333333333)	(30.0, 1.0)	(31.0, 1.0)	(32.0, 1.9999999999999998)	(33.0, 1.3333333333333333)	(34.0, 0.3333333333333333)	(35.0, 1.3333333333333333)	(36.0, 3.3333333333333335)	(37.0, 3.0)	(38.0, 2.333333333333333)	(39.0, 2.6666666666666665)	(40.0, 2.8333333333333335)	(41.0, 3.833333333333334)	(42.0, 5.333333333333332)	(43.0, 4.166666666666667)	(44.0, 5.166666666666666)	(45.0, 18.333333333333336)	(46.0, 118.66666666666606)	(47.0, 476.666666666657)	(48.0, 2470.500000000006)	(49.0, 9203.333333332193)	(50.0, 11733.500000003462)	(51.0, 7026.833333331413)	(52.0, 9668.166666666371)	(53.0, 13978.16666667421)	(54.0, 16226.166666678298)	(55.0, 16337.83333334517)	(56.0, 9783.16666666658)	(57.0, 5228.833333333047)	(58.0, 2765.1666666668066)	(59.0, 2035.8333333331498)	(60.0, 1461.499999999947)	(61.0, 415.49999999999386)	(62.0, 391.1666666666619)	(63.0, 475.16666666665714)	(64.0, 369.49999999999653)	(65.0, 366.4999999999967)	(66.0, 105.16666666666626)	(67.0, 30.49999999999996)	(68.0, 17.166666666666675)	(69.0, 4.333333333333333)	(70.0, 1.9999999999999998)	(71.0, 0.3333333333333333)	(72.0, 0.6666666666666666)	(73.0, 1.6666666666666665)	(74.0, 1.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR3667000_2	(0.0, 3.0)	(1.0, 1.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.3333333333333333)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.3333333333333333)	(19.0, 0.0)	(20.0, 0.3333333333333333)	(21.0, 0.3333333333333333)	(22.0, 0.3333333333333333)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.3333333333333333)	(26.0, 0.3333333333333333)	(27.0, 1.0)	(28.0, 1.6666666666666665)	(29.0, 1.3333333333333333)	(30.0, 0.6666666666666666)	(31.0, 1.9999999999999998)	(32.0, 1.9999999999999998)	(33.0, 1.6666666666666665)	(34.0, 2.5)	(35.0, 2.8333333333333335)	(36.0, 1.9999999999999998)	(37.0, 4.0)	(38.0, 4.0)	(39.0, 4.166666666666667)	(40.0, 8.166666666666664)	(41.0, 10.666666666666668)	(42.0, 20.66666666666666)	(43.0, 226.3333333333354)	(44.0, 239.33333333333576)	(45.0, 223.66666666666865)	(46.0, 1249.3333333333285)	(47.0, 10079.666666667119)	(48.0, 16786.833333343788)	(49.0, 5120.833333333146)	(50.0, 9204.666666665527)	(51.0, 17205.833333342263)	(52.0, 15841.500000010932)	(53.0, 12822.666666672108)	(54.0, 8860.333333331568)	(55.0, 3336.1666666670662)	(56.0, 2514.666666666693)	(57.0, 1179.3333333333446)	(58.0, 2069.4999999998236)	(59.0, 1525.666666666599)	(60.0, 213.00000000000168)	(61.0, 210.16666666666825)	(62.0, 426.6666666666599)	(63.0, 379.4999999999959)	(64.0, 49.166666666666735)	(65.0, 24.499999999999986)	(66.0, 25.833333333333307)	(67.0, 424.83333333332666)	(68.0, 428.33333333332644)	(69.0, 25.33333333333331)	(70.0, 6.666666666666664)	(71.0, 25.666666666666643)	(72.0, 29.66666666666663)	(73.0, 4.666666666666666)	(74.0, 2.333333333333333)	(75.0, 2.333333333333333)	(76.0, 1.6666666666666665)	(77.0, 1.9999999999999998)	(78.0, 1.3333333333333333)	(79.0, 1.3333333333333333)	(80.0, 1.3333333333333333)	(81.0, 1.6666666666666665)	(82.0, 0.6666666666666666)	(83.0, 0.6666666666666666)	(84.0, 0.3333333333333333)	(85.0, 0.3333333333333333)	(86.0, 1.0)	(87.0, 1.3333333333333333)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.6666666666666666)	(91.0, 0.6666666666666666)	(92.0, 0.3333333333333333)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.3333333333333333)	(97.0, 0.0)	(98.0, 0.3333333333333333)	(99.0, 1.0)	(100.0, 2.5)
