Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR3666996_1	(14.0, 1.0)	(15.0, 7.0)	(16.0, 29.0)	(17.0, 46.0)	(18.0, 71.0)	(19.0, 79.0)	(20.0, 154.0)	(21.0, 301.0)	(22.0, 551.0)	(23.0, 846.0)	(24.0, 1102.0)	(25.0, 1346.0)	(26.0, 1701.0)	(27.0, 2050.0)	(28.0, 2466.0)	(29.0, 3083.0)	(30.0, 3599.0)	(31.0, 4568.0)	(32.0, 5817.0)	(33.0, 7701.0)	(34.0, 11053.0)	(35.0, 16909.0)	(36.0, 30059.0)	(37.0, 20896.0)													
SRR3666996_2	(11.0, 1.0)	(12.0, 7.0)	(13.0, 39.0)	(14.0, 58.0)	(15.0, 99.0)	(16.0, 178.0)	(17.0, 268.0)	(18.0, 370.0)	(19.0, 461.0)	(20.0, 579.0)	(21.0, 790.0)	(22.0, 981.0)	(23.0, 1342.0)	(24.0, 1927.0)	(25.0, 2782.0)	(26.0, 3597.0)	(27.0, 4870.0)	(28.0, 6400.0)	(29.0, 8461.0)	(30.0, 10537.0)	(31.0, 13237.0)	(32.0, 15770.0)	(33.0, 17675.0)	(34.0, 15914.0)	(35.0, 7456.0)	(36.0, 635.0)	(37.0, 1.0)										
SRR3666997_1	(14.0, 1.0)	(15.0, 8.0)	(16.0, 22.0)	(17.0, 23.0)	(18.0, 42.0)	(19.0, 49.0)	(20.0, 92.0)	(21.0, 169.0)	(22.0, 235.0)	(23.0, 343.0)	(24.0, 449.0)	(25.0, 539.0)	(26.0, 688.0)	(27.0, 899.0)	(28.0, 1031.0)	(29.0, 1222.0)	(30.0, 1525.0)	(31.0, 1864.0)	(32.0, 2414.0)	(33.0, 3149.0)	(34.0, 4593.0)	(35.0, 7016.0)	(36.0, 12422.0)	(37.0, 8877.0)													
SRR3666997_2	(12.0, 6.0)	(13.0, 16.0)	(14.0, 13.0)	(15.0, 36.0)	(16.0, 58.0)	(17.0, 102.0)	(18.0, 165.0)	(19.0, 190.0)	(20.0, 202.0)	(21.0, 308.0)	(22.0, 372.0)	(23.0, 483.0)	(24.0, 720.0)	(25.0, 1043.0)	(26.0, 1395.0)	(27.0, 1931.0)	(28.0, 2385.0)	(29.0, 3320.0)	(30.0, 4216.0)	(31.0, 5380.0)	(32.0, 6483.0)	(33.0, 7498.0)	(34.0, 7298.0)	(35.0, 3689.0)	(36.0, 363.0)												
SRR3666998_1	(15.0, 1.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 5.0)	(19.0, 15.0)	(20.0, 54.0)	(21.0, 107.0)	(22.0, 172.0)	(23.0, 300.0)	(24.0, 492.0)	(25.0, 793.0)	(26.0, 1272.0)	(27.0, 1870.0)	(28.0, 1934.0)	(29.0, 2365.0)	(30.0, 2863.0)	(31.0, 3651.0)	(32.0, 4632.0)	(33.0, 5830.0)	(34.0, 8020.0)	(35.0, 12664.0)	(36.0, 29652.0)	(37.0, 157751.0)	(38.0, 22286.0)													
SRR3666998_2	(13.0, 1.0)	(14.0, 1.0)	(15.0, 43.0)	(16.0, 272.0)	(17.0, 537.0)	(18.0, 421.0)	(19.0, 244.0)	(20.0, 334.0)	(21.0, 458.0)	(22.0, 669.0)	(23.0, 1073.0)	(24.0, 1570.0)	(25.0, 1709.0)	(26.0, 1616.0)	(27.0, 1709.0)	(28.0, 1853.0)	(29.0, 2390.0)	(30.0, 2860.0)	(31.0, 3829.0)	(32.0, 4881.0)	(33.0, 6481.0)	(34.0, 9044.0)	(35.0, 14200.0)	(36.0, 26406.0)	(37.0, 116766.0)	(38.0, 57363.0)											
SRR3666999_1	(15.0, 1.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 6.0)	(19.0, 7.0)	(20.0, 31.0)	(21.0, 81.0)	(22.0, 100.0)	(23.0, 152.0)	(24.0, 275.0)	(25.0, 391.0)	(26.0, 556.0)	(27.0, 733.0)	(28.0, 880.0)	(29.0, 1121.0)	(30.0, 1385.0)	(31.0, 1797.0)	(32.0, 2243.0)	(33.0, 2969.0)	(34.0, 4334.0)	(35.0, 6950.0)	(36.0, 18123.0)	(37.0, 110210.0)	(38.0, 9863.0)													
SRR3666999_2	(14.0, 2.0)	(15.0, 6.0)	(16.0, 56.0)	(17.0, 156.0)	(18.0, 182.0)	(19.0, 135.0)	(20.0, 148.0)	(21.0, 157.0)	(22.0, 206.0)	(23.0, 280.0)	(24.0, 326.0)	(25.0, 442.0)	(26.0, 547.0)	(27.0, 661.0)	(28.0, 811.0)	(29.0, 966.0)	(30.0, 1214.0)	(31.0, 1616.0)	(32.0, 2063.0)	(33.0, 2827.0)	(34.0, 3811.0)	(35.0, 6147.0)	(36.0, 11890.0)	(37.0, 69154.0)	(38.0, 58410.0)												
SRR3667000_1	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 3.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 5.0)	(19.0, 17.0)	(20.0, 41.0)	(21.0, 103.0)	(22.0, 134.0)	(23.0, 233.0)	(24.0, 359.0)	(25.0, 516.0)	(26.0, 734.0)	(27.0, 917.0)	(28.0, 1143.0)	(29.0, 1422.0)	(30.0, 1742.0)	(31.0, 2225.0)	(32.0, 2988.0)	(33.0, 3797.0)	(34.0, 5507.0)	(35.0, 8818.0)	(36.0, 20385.0)	(37.0, 138394.0)	(38.0, 32121.0)
SRR3667000_2	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 27.0)	(16.0, 161.0)	(17.0, 333.0)	(18.0, 316.0)	(19.0, 331.0)	(20.0, 428.0)	(21.0, 569.0)	(22.0, 719.0)	(23.0, 874.0)	(24.0, 1017.0)	(25.0, 1221.0)	(26.0, 1435.0)	(27.0, 1633.0)	(28.0, 1962.0)	(29.0, 2188.0)	(30.0, 2674.0)	(31.0, 3362.0)	(32.0, 4330.0)	(33.0, 5464.0)	(34.0, 7485.0)	(35.0, 11536.0)	(36.0, 22303.0)	(37.0, 97594.0)	(38.0, 53641.0)
