Sample	Unique Reads	Duplicate Reads
SRR3666996_1	47853.0	66582.0
SRR3666996_2	10281.0	104154.0
SRR3666997_1	26286.0	21386.0
SRR3666997_2	5156.0	42516.0
SRR3666998_1	90735.0	165995.0
SRR3666998_2	16745.0	239985.0
SRR3666999_1	54479.0	107734.0
SRR3666999_2	7083.0	155130.0
SRR3667000_1	56401.0	165208.0
SRR3667000_2	13507.0	208102.0
SRR3667001_1	49795.0	111051.0
SRR3667001_2	7401.0	153445.0
SRR3667002_1	34401.0	89419.0
SRR3667002_2	6480.0	117340.0
SRR3667003_1	46766.0	78212.0
SRR3667003_2	6978.0	118000.0
SRR3667004_1	81216.0	181095.0
SRR3667004_2	18121.0	244190.0
SRR3667005_1	26904.0	69668.0
SRR3667005_2	7827.0	88745.0
SRR3667006_1	42836.0	64500.0
SRR3667006_2	5946.0	101390.0
SRR3667007_1	58985.0	139751.0
SRR3667007_2	8906.0	189830.0
SRR3667008_1	36822.0	59021.0
SRR3667008_2	8320.0	87523.0
SRR3667009_1	66767.0	122778.0
SRR3667009_2	11432.0	178113.0
SRR3667010_1	70453.0	85082.0
SRR3667010_2	8963.0	146572.0
SRR3667011_1	69908.0	102774.0
SRR3667011_2	11356.0	161326.0
SRR3667012_1	68078.0	110183.0
SRR3667012_2	9353.0	168908.0
SRR3667013_1	60847.0	170862.0
SRR3667013_2	9033.0	222676.0
SRR3667014_1	75501.0	133050.0
SRR3667014_2	13457.0	195094.0
SRR3667015_1	51677.0	101704.0
SRR3667015_2	6800.0	146581.0
SRR3667016_1	54761.0	175144.0
SRR3667016_2	10796.0	219109.0
SRR3667017_1	37569.0	94611.0
SRR3667017_2	9454.0	122726.0
SRR3667018_1	46825.0	52967.0
SRR3667018_2	7104.0	92688.0
SRR3667019_1	67989.0	196772.0
SRR3667019_2	18647.0	246114.0
SRR3667020_1	47300.0	62864.0
SRR3667020_2	11296.0	98868.0
SRR3667021_1	53020.0	115594.0
SRR3667021_2	9853.0	158761.0
SRR3667022_1	75316.0	158499.0
SRR3667022_2	13680.0	220135.0
SRR3667023_1	87297.0	145816.0
SRR3667023_2	17047.0	216066.0
SRR3667024_1	30726.0	125633.0
SRR3667024_2	7645.0	148714.0
SRR3667025_1	66046.0	147154.0
SRR3667025_2	10358.0	202842.0
SRR3667026_1	56224.0	101862.0
SRR3667026_2	10887.0	147199.0
SRR3667027_1	37883.0	69021.0
SRR3667027_2	7199.0	99705.0
SRR3667028_1	33673.0	60382.0
SRR3667028_2	6471.0	87584.0
SRR3667029_1	41722.0	101064.0
SRR3667029_2	6511.0	136275.0
SRR3667030_1	51719.0	95971.0
SRR3667030_2	12352.0	135338.0
SRR3667031_1	33857.0	101637.0
SRR3667031_2	6655.0	128839.0
SRR3667032_1	86025.0	133192.0
SRR3667032_2	15513.0	203704.0
SRR3667033_1	26207.0	59671.0
SRR3667033_2	4456.0	81422.0
SRR3667034_1	33299.0	68127.0
SRR3667034_2	7762.0	93664.0
SRR3667035_1	26091.0	62362.0
SRR3667035_2	4166.0	84287.0
SRR3667036_1	54165.0	89147.0
SRR3667036_2	6338.0	136974.0
SRR3667037_1	39347.0	100243.0
SRR3667037_2	6794.0	132796.0
SRR3667038_1	31923.0	110713.0
SRR3667038_2	6401.0	136235.0
SRR3667039_1	30163.0	57867.0
SRR3667039_2	6258.0	81772.0
SRR3667040_1	81247.0	116928.0
SRR3667040_2	20266.0	177909.0
SRR3667041_1	65178.0	154625.0
SRR3667041_2	16643.0	203160.0
SRR3667042_1	88092.0	163530.0
SRR3667042_2	25743.0	225879.0
SRR3667043_1	41345.0	55477.0
SRR3667043_2	7852.0	88970.0
SRR3667044_1	32135.0	112019.0
SRR3667044_2	6422.0	137732.0
SRR3667045_1	47269.0	188950.0
SRR3667045_2	10134.0	226085.0
