Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR3666996_1	(1.0, 23.824004893607725)	(2.0, 12.896404072180715)	(3.0, 10.861187573731813)	(4.0, 9.570498536286976)	(5.0, 7.97832830864683)	(6.0, 6.889500589854503)	(7.0, 5.456372613273911)	(8.0, 4.02674007078254)	(9.0, 3.436885568226504)	('>10', 14.984925940490236)	('>50', 0.07515183291825053)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3666996_2	(1.0, 6.960283130161226)	(2.0, 1.3387512561716257)	(3.0, 0.8153100013107878)	(4.0, 0.6047100974352252)	(5.0, 0.5374229912177219)	(6.0, 0.32507537029754885)	(7.0, 0.33031852143138024)	(8.0, 0.2726438589592345)	(9.0, 0.2674007078254031)	('>10', 8.58216454755975)	('>50', 4.942543802158431)	('>100', 39.093808712369466)	('>500', 28.375060077773405)	('>1k', 7.5545069253287895)	('>5k', 0.0)	('>10k+', 0.0)
SRR3666997_1	(1.0, 38.62854505789562)	(2.0, 17.02466856855177)	(3.0, 10.968702802483639)	(4.0, 6.9306930693069315)	(5.0, 4.803658331934888)	(6.0, 2.9073670078872293)	(7.0, 2.6724282597751303)	(8.0, 1.409632488672596)	(9.0, 1.0572243665044472)	('>10', 7.918694411814063)	('>50', 1.0278570229904347)	('>100', 4.650528612183252)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3666997_2	(1.0, 8.09070313811042)	(2.0, 1.5564692062426582)	(3.0, 0.7992112770599094)	(4.0, 0.6460815573082732)	(5.0, 0.6502768920959893)	(6.0, 0.7299882530625944)	(7.0, 0.5432958550092297)	(8.0, 0.6041282094311126)	(9.0, 0.39645913743916766)	('>10', 13.871874475583152)	('>50', 13.993539184426918)	('>100', 45.45645242490351)	('>500', 12.66152038932707)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3666998_1	(1.0, 20.665679897168232)	(2.0, 11.093366571884859)	(3.0, 8.523351380828109)	(4.0, 6.632649086589024)	(5.0, 5.698593853464729)	(6.0, 4.64846336618237)	(7.0, 3.811786701982628)	(8.0, 3.275036030070502)	(9.0, 2.892143497059167)	('>10', 22.21555720017139)	('>50', 2.582869162154793)	('>100', 4.784403848401044)	('>500', 2.035991119074514)	('>1k', 1.1401082849686441)	('>5k', 0.0)	('>10k+', 0.0)
SRR3666998_2	(1.0, 4.998247185759358)	(2.0, 1.090639971954972)	(3.0, 0.604136641607915)	(4.0, 0.38172399018424025)	(5.0, 0.3427725626144198)	(6.0, 0.3131694776613563)	(7.0, 0.23176099404043157)	(8.0, 0.24617302224126514)	(9.0, 0.2243602228021657)	('>10', 6.156662641685818)	('>50', 4.702216336228723)	('>100', 21.45989950531687)	('>500', 20.671133097028004)	('>1k', 38.57710435087446)	('>5k', 0.0)	('>10k+', 0.0)
SRR3666999_1	(1.0, 20.389241306183845)	(2.0, 10.202634807321239)	(3.0, 7.0037543230197326)	(4.0, 5.639498683829286)	(5.0, 4.605056314845296)	(6.0, 3.9244696787557096)	(7.0, 3.5126654460493305)	(8.0, 2.7815279909748294)	(9.0, 2.541103364095356)	('>10', 26.888103912756684)	('>50', 2.5657623001855585)	('>100', 5.182691892758287)	('>500', 1.8099659090208553)	('>1k', 2.953524070203991)	('>5k', 0.0)	('>10k+', 0.0)
SRR3666999_2	(1.0, 3.388137818793808)	(2.0, 0.6386664447362418)	(3.0, 0.2385752066727081)	(4.0, 0.18740791428553816)	(5.0, 0.12637704746228726)	(6.0, 0.11096521240591074)	(7.0, 0.13809004210513337)	(8.0, 0.08384038270668812)	(9.0, 0.1054169517856152)	('>10', 6.098771368509306)	('>50', 5.624703322175165)	('>100', 24.268708426574936)	('>500', 13.085264436265899)	('>1k', 33.36723937045736)	('>5k', 12.537836055063403)	('>10k+', 0.0)
SRR3667000_1	(1.0, 12.499041103926285)	(2.0, 7.477133148924457)	(3.0, 6.24478247724596)	(4.0, 5.689299622307758)	(5.0, 5.126145598779833)	(6.0, 4.673095406774996)	(7.0, 4.396933337544955)	(8.0, 3.8446091990848745)	(9.0, 3.366740520466226)	('>10', 41.71310731964857)	('>50', 4.599091192144724)	('>100', 0.3700210731513612)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3667000_2	(1.0, 4.907291671367138)	(2.0, 1.1470653267692197)	(3.0, 0.5225419545235076)	(4.0, 0.3700210731513612)	(5.0, 0.1850105365756806)	(6.0, 0.2138902300899332)	(7.0, 0.13266609208109778)	(8.0, 0.11190881236772875)	(9.0, 0.10153017251104424)	('>10', 2.385282186192799)	('>50', 1.9633679137580153)	('>100', 11.5239002026091)	('>500', 14.933960263346705)	('>1k', 61.50156356465667)	('>5k', 0.0)	('>10k+', 0.0)
