Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR3666996_1	(55, 1.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 1.0)	(135, 1.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 1.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 1.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 1.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 4.0)	(290, 1.0)	(295, 1887.0)	(300, 112536.0)
SRR3666996_2	(55, 1.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 1.0)	(135, 1.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 1.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 1.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 14038.0)	(300, 100391.0)
SRR3666997_1	(165, 1.0)	(170, 1.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 852.0)	(300, 46818.0)																						
SRR3666997_2	(165, 1.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 1.0)	(295, 5901.0)	(300, 41769.0)																						
SRR3666998_1	(55, 1.0)	(60, 1.0)	(65, 0.0)	(70, 0.0)	(75, 1.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 1.0)	(160, 0.0)	(165, 1.0)	(170, 0.0)	(175, 2.0)	(180, 1.0)	(185, 1.0)	(190, 1.0)	(195, 1.0)	(200, 2.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 1.0)	(225, 1.0)	(230, 1.0)	(235, 3.0)	(240, 1.0)	(245, 21386.0)	(250, 235323.0)										
SRR3666998_2	(55, 1.0)	(60, 1.0)	(65, 1.0)	(70, 0.0)	(75, 1.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.0)	(115, 0.0)	(120, 0.0)	(125, 1.0)	(130, 0.0)	(135, 0.0)	(140, 1.0)	(145, 0.0)	(150, 0.0)	(155, 1.0)	(160, 1.0)	(165, 0.0)	(170, 0.0)	(175, 1.0)	(180, 1.0)	(185, 0.0)	(190, 1.0)	(195, 0.0)	(200, 1.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 1.0)	(230, 1.0)	(235, 1.0)	(240, 1.0)	(245, 1016.0)	(250, 255697.0)										
SRR3666999_1	(35, 1.0)	(40, 0.0)	(45, 0.0)	(50, 5.0)	(55, 35.0)	(60, 0.0)	(65, 0.0)	(70, 6.0)	(75, 0.0)	(80, 2.0)	(85, 14.0)	(90, 0.0)	(95, 16.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.0)	(120, 1.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1.0)	(155, 2.0)	(160, 2.0)	(165, 1.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 6.0)	(200, 0.0)	(205, 1.0)	(210, 6.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 1.0)	(240, 1.0)	(245, 1.0)	(250, 30797.0)	(255, 131312.0)					
SRR3666999_2	(35, 1.0)	(40, 0.0)	(45, 0.0)	(50, 5.0)	(55, 35.0)	(60, 0.0)	(65, 0.0)	(70, 6.0)	(75, 0.0)	(80, 2.0)	(85, 13.0)	(90, 0.0)	(95, 16.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.0)	(120, 1.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1.0)	(155, 2.0)	(160, 2.0)	(165, 1.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 7.0)	(200, 0.0)	(205, 1.0)	(210, 6.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 1.0)	(240, 0.0)	(245, 1.0)	(250, 103.0)	(255, 162007.0)					
SRR3667000_1	(35, 3.0)	(40, 0.0)	(45, 2.0)	(50, 0.0)	(55, 1.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 8.0)	(90, 0.0)	(95, 0.0)	(100, 6.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.0)	(130, 0.0)	(135, 1.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 2.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 2.0)	(195, 0.0)	(200, 0.0)	(205, 1.0)	(210, 0.0)	(215, 0.0)	(220, 1.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 2.0)	(250, 72900.0)	(255, 148679.0)					
SRR3667000_2	(35, 3.0)	(40, 0.0)	(45, 2.0)	(50, 0.0)	(55, 1.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 8.0)	(90, 0.0)	(95, 0.0)	(100, 6.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.0)	(130, 0.0)	(135, 1.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 2.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 2.0)	(195, 0.0)	(200, 0.0)	(205, 1.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 2.0)	(250, 144.0)	(255, 221436.0)					
SRR3667001_1	(35, 4.0)	(40, 1.0)	(45, 7.0)	(50, 0.0)	(55, 6.0)	(60, 6.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 1.0)	(180, 0.0)	(185, 2.0)	(190, 1.0)	(195, 1.0)	(200, 0.0)	(205, 1.0)	(210, 1.0)	(215, 0.0)	(220, 0.0)	(225, 1.0)	(230, 0.0)	(235, 0.0)	(240, 2.0)	(245, 0.0)	(250, 51946.0)	(255, 108865.0)					
