Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR3666996_1	SRR3666996_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114435.0	34.4 Mbp	0.0	56-301	54.0	41.81675186787259	300.9247957355704	301	pass	fail	pass	fail	fail	pass	warn	fail	pass	pass
SRR3666996_2	SRR3666996_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114435.0	34.3 Mbp	0.0	56-301	54.0	8.98413946782016	300.5012365098091	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR3666997_1	SRR3666997_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47672.0	14.3 Mbp	0.0	167-301	54.0	55.13928511495217	300.92299462997147	301	pass	fail	pass	fail	warn	pass	warn	warn	warn	pass
SRR3666997_2	SRR3666997_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47672.0	14.3 Mbp	0.0	167-301	54.0	10.815573082732003	300.5018669239805	301	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR3666998_1	SRR3666998_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	256730.0	64.3 Mbp	0.0	58-251	53.0	35.34257780547657	250.66099404043158	251	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR3666998_2	SRR3666998_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	256730.0	64.4 Mbp	0.0	58-251	52.0	6.522416546566431	250.97788727456862	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3666999_1	SRR3666999_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	162213.0	41.4 Mbp	0.0	35-256	54.0	33.5848544814534	255.14030318161923	256	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3666999_2	SRR3666999_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	162213.0	41.4 Mbp	0.0	35-256	51.0	4.3664811081725885	255.8979489929907	256	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3667000_1	SRR3667000_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	221609.0	56.5 Mbp	0.0	35-256	53.0	25.450681154646247	254.66510385408534	256	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
SRR3667000_2	SRR3667000_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	221609.0	56.7 Mbp	0.0	35-256	51.0	6.094969067140775	255.978489140784	256	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3667001_1	SRR3667001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160846.0	41 Mbp	0.0	35-256	53.0	30.95818360419283	254.67370652673986	256	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
SRR3667001_2	SRR3667001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160846.0	41.1 Mbp	0.0	35-256	51.0	4.601295649254567	255.96264128420975	256	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3667002_1	SRR3667002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123820.0	31.1 Mbp	0.0	49-256	53.0	27.783072201582943	252.52967210466807	252	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
SRR3667002_2	SRR3667002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123820.0	31.2 Mbp	0.0	49-256	52.0	5.233403327410758	253.2049668874172	252	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3667003_1	SRR3667003_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124978.0	31.5 Mbp	0.0	41-256	52.0	37.41938581190289	252.74607530925442	252	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
SRR3667003_2	SRR3667003_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124978.0	31.6 Mbp	0.0	49-256	51.0	5.583382675350862	253.57390100657716	252	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3667004_1	SRR3667004_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	262311.0	65.7 Mbp	0.0	42-251	53.0	30.96172101055617	250.77345974816154	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3667004_2	SRR3667004_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	262311.0	65.8 Mbp	0.0	84-251	52.0	6.908212007883771	250.97994365466946	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3667005_1	SRR3667005_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96572.0	24.5 Mbp	0.0	35-256	53.0	27.859006751439342	253.8086919604026	256	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
SRR3667005_2	SRR3667005_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96572.0	24.5 Mbp	0.0	35-256	51.0	8.10483369920888	254.71561115022988	256	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3667006_1	SRR3667006_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107336.0	27.1 Mbp	0.0	55-256	53.0	39.908325258999774	253.04614481627786	252	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
SRR3667006_2	SRR3667006_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107336.0	27.1 Mbp	0.0	55-256	50.0	5.539613922635462	253.64081016620705	252	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3667007_1	SRR3667007_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	198736.0	50.7 Mbp	0.0	53-256	53.0	29.680078093551245	254.89257608083085	256	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
