Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR3666996_1	58.18324813212741	54.0	300.9247957355704	301	40.0	0.114435
SRR3666996_2	91.01586053217984	54.0	300.5012365098091	301	50.0	0.114435
SRR3666997_1	44.86071488504783	54.0	300.92299462997147	301	20.0	0.047672
SRR3666997_2	89.184426917268	54.0	300.5018669239805	301	50.0	0.047672
SRR3666998_1	64.65742219452343	53.0	250.66099404043158	251	20.0	0.25673
SRR3666998_2	93.47758345343357	52.0	250.97788727456862	251	40.0	0.25673
SRR3666999_1	66.41514551854661	54.0	255.14030318161923	256	40.0	0.162213
SRR3666999_2	95.6335188918274	51.0	255.8979489929907	256	40.0	0.162213
SRR3667000_1	74.54931884535375	53.0	254.66510385408534	256	30.0	0.221609
SRR3667000_2	93.90503093285922	51.0	255.978489140784	256	40.0	0.221609
SRR3667001_1	69.04181639580717	53.0	254.67370652673986	256	30.0	0.160846
SRR3667001_2	95.39870435074543	51.0	255.96264128420975	256	40.0	0.160846
SRR3667002_1	72.21692779841706	53.0	252.52967210466807	252	30.0	0.12382
SRR3667002_2	94.76659667258924	52.0	253.2049668874172	252	40.0	0.12382
SRR3667003_1	62.58061418809711	52.0	252.74607530925442	252	30.0	0.12497799999999999
SRR3667003_2	94.41661732464914	51.0	253.57390100657716	252	40.0	0.12497799999999999
SRR3667004_1	69.03827898944382	53.0	250.77345974816154	251	40.0	0.26231099999999996
SRR3667004_2	93.09178799211622	52.0	250.97994365466946	251	40.0	0.26231099999999996
SRR3667005_1	72.14099324856066	53.0	253.8086919604026	256	30.0	0.09657199999999999
SRR3667005_2	91.89516630079112	51.0	254.71561115022988	256	40.0	0.09657199999999999
SRR3667006_1	60.091674741000226	53.0	253.04614481627786	252	30.0	0.107336
SRR3667006_2	94.46038607736453	50.0	253.64081016620705	252	40.0	0.107336
SRR3667007_1	70.31992190644876	53.0	254.89257608083085	256	30.0	0.198736
SRR3667007_2	95.51867804524595	50.0	255.94904798325416	256	40.0	0.198736
SRR3667008_1	61.58091879427815	51.0	300.96483832935115	301	30.0	0.095843
SRR3667008_2	91.31913650449172	52.0	300.53441565894224	301	50.0	0.095843
SRR3667009_1	64.77564694399746	53.0	255.12696721095256	256	30.0	0.189545
SRR3667009_2	93.9687145532723	51.0	255.87972776913134	256	40.0	0.189545
SRR3667010_1	54.702800012858845	54.0	255.1551097823641	256	30.0	0.155535
SRR3667010_2	94.23730993024078	52.0	255.82703571543382	256	40.0	0.155535
SRR3667011_1	59.516336387116205	54.0	250.67256575670888	251	20.0	0.172682
SRR3667011_2	93.42375001447748	52.0	250.96722877891153	251	40.0	0.172682
SRR3667012_1	61.80993038297777	54.0	255.27502370120217	256	30.0	0.178261
SRR3667012_2	94.75319896107393	52.0	255.78809161846954	256	40.0	0.178261
SRR3667013_1	73.73990652067896	50.0	255.31912441899107	256	30.0	0.231709
SRR3667013_2	96.10200725910516	48.0	255.91210958573038	256	40.0	0.231709
SRR3667014_1	63.79734453443043	53.0	250.74658476823416	251	40.0	0.208551
SRR3667014_2	93.54738169560443	51.0	250.9670008774832	251	40.0	0.208551
SRR3667015_1	66.30808248740065	53.0	253.8196191184045	256	30.0	0.153381
SRR3667015_2	95.56659560180205	51.0	255.33869905659762	256	40.0	0.153381
SRR3667016_1	76.18103129553512	52.0	250.83822013440334	251	40.0	0.229905
SRR3667016_2	95.30414736521607	50.0	250.991479089189	251	40.0	0.229905
SRR3667017_1	71.57815100620365	51.0	252.50647601755182	252	30.0	0.13218
SRR3667017_2	92.84763201694659	50.0	253.1943864427296	252	40.0	0.13218
SRR3667018_1	53.07740099406766	53.0	253.76573272406605	256	30.0	0.09979199999999999
SRR3667018_2	92.88119288119287	51.0	255.6005090588424	256	40.0	0.09979199999999999
SRR3667019_1	74.32061368555037	54.0	300.9399949388316	301	50.0	0.26476099999999997
SRR3667019_2	92.9570442776693	54.0	299.9699993579115	301	50.0	0.26476099999999997
SRR3667020_1	57.06401365237282	53.0	253.05086053520208	252	30.0	0.110164
SRR3667020_2	89.74619657964489	51.0	253.84025634508552	252	40.0	0.110164
SRR3667021_1	68.55539872133987	54.0	250.83701827843475	251	40.0	0.16861399999999999
SRR3667021_2	94.15647573748325	52.0	250.97733284306167	251	40.0	0.16861399999999999
SRR3667022_1	67.7882086264782	53.0	250.80592348651712	251	40.0	0.233815
SRR3667022_2	94.1496482261617	52.0	250.97663965100614	251	40.0	0.233815
SRR3667023_1	62.55163804678418	54.0	250.7203201880633	251	20.0	0.233113
SRR3667023_2	92.68723752000103	52.0	250.96797690390497	251	40.0	0.233113
SRR3667024_1	80.3490684898215	53.0	252.75930390959266	252	30.0	0.156359
SRR3667024_2	95.11061083787949	51.0	253.56596678157317	252	40.0	0.156359
SRR3667025_1	69.02157598499062	52.0	254.5330909943715	256	20.0	0.2132
SRR3667025_2	95.14165103189494	50.0	255.94614915572234	256	40.0	0.2132
SRR3667026_1	64.4345482838455	52.0	252.59405007401034	252	30.0	0.158086
SRR3667026_2	93.113242159331	50.0	253.56593246713814	252	40.0	0.158086
SRR3667027_1	64.56353363765622	54.0	252.86576741749607	252	20.0	0.106904
SRR3667027_2	93.26685624485519	52.0	253.2539848836339	252	40.0	0.106904
SRR3667028_1	64.19860719791612	53.0	254.76954973154005	256	20.0	0.094055
SRR3667028_2	93.11998298867684	51.0	255.96533942905748	256	40.0	0.094055
SRR3667029_1	70.78074881290883	52.0	252.58582774221563	252	30.0	0.142786
SRR3667029_2	95.44002913450899	50.0	253.65107923746027	252	40.0	0.142786
SRR3667030_1	64.98205701130746	52.0	300.8832317692464	301	30.0	0.14769
SRR3667030_2	91.63653598754146	53.0	300.3267384386214	301	50.0	0.14769
SRR3667031_1	75.01217766100345	53.0	254.48827992383426	256	30.0	0.135494
SRR3667031_2	95.0883433952795	50.0	255.9695558474914	256	40.0	0.135494
SRR3667032_1	60.75851781568035	53.0	250.66837425929558	251	20.0	0.219217
SRR3667032_2	92.92345027985968	52.0	250.97130240811614	251	30.0	0.219217
SRR3667033_1	69.48461771350054	54.0	254.3365122615804	256	30.0	0.085878
SRR3667033_2	94.81240830014671	52.0	255.91309765015487	256	40.0	0.085878
SRR3667034_1	67.1691676690395	53.0	254.3042316565772	256	30.0	0.101426
SRR3667034_2	92.34712992723759	52.0	255.67690730187525	256	40.0	0.101426
SRR3667035_1	70.50410952709348	54.0	255.45722587136672	256	40.0	0.08845299999999999
SRR3667035_2	95.2901540931342	52.0	255.96590279583506	256	40.0	0.08845299999999999
SRR3667036_1	62.204839790108295	52.0	254.53288629005246	256	20.0	0.143312
SRR3667036_2	95.57748129954226	50.0	255.97448922630346	256	40.0	0.143312
SRR3667037_1	71.81245074862096	51.0	252.45842825417293	252	30.0	0.13959
SRR3667037_2	95.13288917544237	49.0	254.1353463715166	256	40.0	0.13959
SRR3667038_1	77.6199556914103	52.0	252.65819288258223	252	30.0	0.14263599999999999
SRR3667038_2	95.51235312263384	51.0	253.69930452340222	252	40.0	0.14263599999999999
SRR3667039_1	65.73554470067023	52.0	253.94951721004202	252	30.0	0.08803
SRR3667039_2	92.89105986595479	50.0	255.9595024423492	256	40.0	0.08803
SRR3667040_1	59.00290147596821	53.0	250.63219376813421	251	20.0	0.198175
SRR3667040_2	89.77368487447963	52.0	250.96189731298094	251	20.0	0.198175
SRR3667041_1	70.34753847763679	54.0	300.92346783255914	301	30.0	0.219803
SRR3667041_2	92.42821981501618	54.0	300.5529314886512	301	50.0	0.219803
SRR3667042_1	64.99074007837152	53.0	250.7150487636216	251	20.0	0.251622
SRR3667042_2	89.76917757588764	52.0	250.9821398764814	251	40.0	0.251622
SRR3667043_1	57.297928156823865	51.0	253.09633141228232	256	30.0	0.09682199999999999
SRR3667043_2	91.89027287186796	49.0	254.63185019933485	256	40.0	0.09682199999999999
SRR3667044_1	77.70786797452725	53.0	253.46158968880502	252	30.0	0.144154
SRR3667044_2	95.54504210774589	52.0	253.9904685267145	256	40.0	0.144154
SRR3667045_1	79.98933193350238	53.0	254.78019549655193	256	30.0	0.23621899999999998
SRR3667045_2	95.70991325845931	52.0	255.9846159707729	256	40.0	0.23621899999999998
