	SRR3666998	SRR3666999	SRR3667000	SRR3667001	SRR3667002	SRR3667003	SRR3667004	SRR3667005	SRR3667006	SRR3667007	SRR3667010	SRR3667011	SRR3667012	SRR3667013	SRR3667014	SRR3667015	SRR3667016	SRR3667017	SRR3667018	SRR3667020	SRR3667021	SRR3667022	SRR3667023	SRR3667024	SRR3667025	SRR3667026	SRR3667027	SRR3667028	SRR3667029	SRR3667031	SRR3667032	SRR3667033	SRR3667034	SRR3667035	SRR3667036	SRR3667037	SRR3667038	SRR3667039	SRR3667040	SRR3667042	SRR3667043	SRR3667044	SRR3667045
ASV_0001	10586	1735	64	24	538	1222	29370	8977	438	134	56	5412	60	153	20636	91	4054	587	475	638	54186	37278	11279	49677	151	751	1480	4158	26370	26884	9054	74	1719	45043	362	7210	43697	3114	4448	19382	220	13036	26765
ASV_0002	7548	297	0	44	3	12	1354	71	3177	5040	2343	6032	0	33	1841	6	188	3	40	0	848	1706	1493	0	0	0	0	0	0	86	5332	4	0	0	0	0	0	0	5420	3307	15	41674	65742
ASV_0003	3271	1701	1775	1429	2566	871	2324	78	42	34	695	1948	30	16	2197	0	20130	10592	1173	743	942	1786	1110	0	23141	973	111	273	0	8159	2171	156	254	182	5705	0	0	3429	1727	2480	605	10006	20906
ASV_0004	5056	0	87	72	0	19	10648	0	3679	5027	0	1750	181	142	8735	10	1649	17	2317	1317	5926	8220	4891	1051	0	0	118	125	16782	0	3736	0	0	136	0	25065	1502	165	2098	9667	42	17	0
ASV_0005	1336	0	4	27	23	0	405	0	636	1781	0	844	5690	73834	42	712	36	35	0	0	152	223	264	0	0	0	0	0	0	0	1139	0	0	0	0	0	0	330	923	419	0	0	0
ASV_0006	2197	816	0	0	92	32	6917	0	0	0	0	952	557	243	7709	5	953	0	0	0	4174	6430	2293	1020	3482	157	0	0	13149	0	1907	76	91	58	0	18508	1393	148	831	5808	0	0	0
ASV_0007	1709	289	4270	2562	0	0	1394	0	0	0	380	796	0	0	1767	0	20682	10944	37	0	747	1741	661	0	0	0	35	77	0	14005	1176	0	0	0	2050	0	0	5933	813	1452	0	562	145
ASV_0008	736	23413	0	26	15	0	634	664	0	0	0	488	551	17354	644	0	100	0	0	0	337	588	255	9960	0	0	0	5	288	0	407	0	0	0	0	365	6242	0	393	633	0	0	0
ASV_0009	2675	231	697	494	13	0	1582	9	7698	11515	0	1624	0	0	691	3	178	32	0	0	500	1608	1272	0	0	0	2935	1550	20	36	2401	0	0	9	0	0	13	0	1903	2203	0	6981	11467
ASV_0010	3236	55	1498	2257	3682	2387	2496	197	278	396	2030	2207	63	694	1793	977	601	19	829	778	1124	1382	2913	272	4450	1980	283	235	1746	252	2883	1836	1636	35	0	1811	312	428	2064	2149	1282	994	2176
ASV_0011	3499	0	0	0	0	0	359	0	3652	40079	311	2312	0	0	378	3	110	55	0	0	195	209	825	0	0	0	0	0	0	0	2177	0	0	10	0	0	0	0	2058	915	0	0	0
ASV_0012	2143	256	8384	5038	2071	929	656	0	8	0	998	1365	0	186	1164	99	194	21	2053	1595	420	746	1713	0	10495	1006	1099	794	46	0	1354	593	587	62	0	7	13	3287	1327	1345	4346	42	155
ASV_0013	1534	11132	79	0	110	0	6401	0	8	97	1597	513	178	0	2677	0	873	209	80	48	1551	2380	2555	20	128	6	5	469	378	14723	901	0	0	964	2753	83	152	578	492	1600	0	15	997
ASV_0014	1388	0	4	49	57	16	310	48	4094	7093	184	918	1394	6353	589	5054	140	51	0	0	221	602	372	11919	23	0	0	0	276	11	914	23	296	120	0	314	7748	57	725	1146	0	3	4
ASV_0015	1412	3454	627	205	314	54	4755	704	13	1136	5232	376	2170	762	4206	82	816	400	438	44	2533	4527	1542	8	700	38	0	37	34	1451	1065	221	516	1415	3823	90	103	91	360	3234	271	4	932
ASV_0016	1607	0	0	0	0	0	2170	0	0	0	13690	553	15800	0	3452	0	564	0	0	0	1750	3496	1110	0	0	36	0	0	0	0	1037	0	0	0	0	0	0	0	559	2272	0	0	0
ASV_0017	2762	260	0	0	107	1368	492	7	1831	2020	0	1914	2236	8787	504	5196	241	94	24	0	234	716	639	325	1140	5747	0	0	188	0	2263	29	96	147	384	160	419	178	2305	1320	0	0	7
